"country","state","lat","long","id","key","population","week","confirmed","death","time","time_sq","prev_week_total","new_cases","incidence","log_incidence","prev_week_actual","log_death","prev_log_death","new_death","log_new_death","prev_log_new_death","new_cases_per_100k","category"
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-12-07,70475,2297,0.484536082474227,0.234775215219471,65098,5377,0.0039626390276832,-2.26372368450138,4917,7.73940273678719,7.72713855608722,28,3.3357695763397,2.57261223020711,396.26390276832,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-12-14,76322,2325,0.494845360824742,0.244871931129769,70475,5847,0.0043090106741424,-2.26039752881683,5377,7.75151832784921,7.73940273678719,28,3.3357695763397,3.3357695763397,430.90106741424,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-12-21,83045,2363,0.505154639175258,0.255181209480285,76322,6723,0.00495458846626635,-2.2542275131732,5847,7.76772959537739,7.75151832784921,38,3.64021428213266,3.3357695763397,495.458846626635,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2020-12-28,92035,2420,0.515463917525773,0.265703050271017,83045,8990,0.00662527893971954,-2.23843465709194,6723,7.79156414061104,7.76772959537739,57,4.04480411666196,3.64021428213266,662.527893971954,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-01-04,102584,2482,0.525773195876289,0.276437453501966,92035,10549,0.0077742010606342,-2.22771697140695,8990,7.81686025504157,7.79156414061104,62,4.12874598893943,4.04480411666196,777.42010606342,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-01-11,112702,2540,0.536082474226804,0.287384419173132,102584,10118,0.00745657089122162,-2.23066850475062,10549,7.83995872931634,7.81686025504157,58,4.06216566385787,4.12874598893943,745.657089122162,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-01-18,121002,2615,0.54639175257732,0.298543947284515,112702,8300,0.00611677588427944,-2.2432151319657,10118,7.86905761668564,7.83995872931634,75,4.31882055877009,4.06216566385787,611.677588427944,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-01-25,128735,2677,0.556701030927835,0.309916037836114,121002,7733,0.00569891902567867,-2.24716061297301,8300,7.89248939807108,7.86905761668564,62,4.12874598893943,4.31882055877009,569.891902567867,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-02-01,134227,2745,0.56701030927835,0.321500690827931,128735,5492,0.00404738953692322,-2.26290881500192,7733,7.91757278315257,7.89248939807108,68,4.22097721315547,4.12874598893943,404.738953692322,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-02-08,139516,2812,0.577319587628866,0.333297906259964,134227,5289,0.00389778646409084,-2.26434768558811,5492,7.94168681417591,7.91757278315257,67,4.20618404397764,4.22097721315547,389.778646409084,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-02-15,143615,2867,0.587628865979381,0.345307684132214,139516,4099,0.00302080293369415,-2.2728243409157,5289,7.96105634494024,7.94168681417591,55,4.00914971615887,4.20618404397764,302.080293369415,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-02-22,148110,2914,0.597938144329897,0.357530024444681,143615,4495,0.00331263946985977,-2.26999555342131,4099,7.97731630325624,7.96105634494024,47,3.85227300102237,4.00914971615887,331.263946985977,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-03-01,152646,2956,0.608247422680412,0.369964927197364,148110,4536,0.00334285486880621,-2.26970313052437,4495,7.99162611099521,7.97731630325624,42,3.74004774068834,3.85227300102237,334.285486880621,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-03-08,156822,2986,0.618556701030928,0.382612392390265,152646,4176,0.00307754892683746,-2.27227367183888,4536,8.00172346715659,7.99162611099521,30,3.40452517175483,3.74004774068834,307.754892683746,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-03-15,161408,3017,0.628865979381443,0.395472420023382,156822,4586,0.00337970291630187,-2.2693466329241,4176,8.01205138411854,8.00172346715659,31,3.43720781918519,3.40452517175483,337.970291630187,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-03-22,165785,3034,0.639175257731959,0.408545010096716,161408,4377,0.00322567807777002,-2.27083763830184,4586,8.01767011915437,8.01205138411854,17,2.83907846350861,3.43720781918519,322.567807777002,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-03-29,170179,3061,0.649484536082474,0.421830162610267,165785,4394,0.00323820641391854,-2.27071627725902,4377,8.02652960747419,8.01767011915437,27,3.29953372788566,2.83907846350861,323.820641391854,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-04-05,174279,3092,0.65979381443299,0.435327877564034,170179,4100,0.00302153989464406,-2.27281718742541,4394,8.03660575071086,8.02652960747419,31,3.43720781918519,3.29953372788566,302.153989464406,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-04-12,177344,3116,0.670103092783505,0.449038154958019,174279,3065,0.00225878531148392,-2.28024856783342,4100,8.04433749890187,8.03660575071086,24,3.18221184049661,3.43720781918519,225.878531148392,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-04-19,179350,3127,0.680412371134021,0.46296099479222,177344,2006,0.00147834366552585,-2.28790986616662,3065,8.04786133647961,8.04433749890187,11,2.40694510831829,3.18221184049661,147.834366552585,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-04-26,180730,3144,0.690721649484536,0.477096397066638,179350,1380,0.0010170061108802,-2.2924663989793,2006,8.05328295965905,8.04786133647961,17,2.83907846350861,2.40694510831829,101.70061108802,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-05-03,181639,3159,0.701030927835051,0.491444361781273,180730,909,0.000669897503471086,-2.29590845638505,1380,8.05804245588827,8.05328295965905,15,2.71469474382088,2.83907846350861,66.9897503471086,3
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-05-10,182343,3162,0.711340206185567,0.506004888936125,181639,704,0.000518820508738883,-2.29741030027194,909,8.05899164282279,8.05804245588827,3,1.1314021114911,2.71469474382088,51.8820508738883,3
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-05-17,182859,3167,0.721649484536082,0.520777978531194,182343,516,0.000380271850155204,-2.29878958654866,704,8.06057162166376,8.05899164282279,5,1.62924053973028,1.1314021114911,38.0271850155204,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-05-24,183169,3168,0.731958762886598,0.535763630566479,182859,310,0.000228457894473088,-2.30030311973196,516,8.0608873180927,8.06057162166376,1,0.0953101798043249,1.62924053973028,22.8457894473088,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-05-31,183392,3173,0.742268041237113,0.550961845041981,183169,223,0.00016434229183064,-2.30094301901746,310,8.06246430700212,8.0608873180927,5,1.62924053973028,0.0953101798043249,16.434229183064,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-06-07,183601,3174,0.752577319587629,0.5663726219577,183392,209,0.000154024838531856,-2.30104602957467,223,8.06277940657619,8.06246430700212,1,0.0953101798043249,1.62924053973028,15.4024838531856,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-06-14,183768,3177,0.762886597938144,0.581995961313636,183601,167,0.000123072478635502,-2.30135512492863,209,8.06372411000959,8.06277940657619,3,1.1314021114911,0.0953101798043249,12.3072478635502,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-06-21,183926,3179,0.77319587628866,0.597831863109789,183768,158,0.000116439830086283,-2.3014213720791,167,8.0643534168489,8.06372411000959,2,0.741937344729377,1.1314021114911,11.6439830086283,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-06-28,184122,3180,0.783505154639175,0.613880327346158,183926,196,0.000144444346182984,-2.30114169173719,158,8.06466792182067,8.0643534168489,1,0.0953101798043249,0.741937344729377,14.4444346182984,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-07-05,184472,3181,0.793814432989691,0.630141354022744,184122,350,0.000257936332469615,-2.30000905051771,196,8.06498232791016,8.06466792182067,1,0.0953101798043249,0.0953101798043249,25.7936332469615,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-07-12,185035,3182,0.804123711340206,0.646614943139547,184472,563,0.000414909014801124,-2.29844458658561,350,8.06529663517953,8.06498232791016,1,0.0953101798043249,0.0953101798043249,41.4909014801124,2
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-07-19,185866,3184,0.814432989690722,0.663301094696567,185035,831,0.000612414549377858,-2.29647962386688,563,8.06592495350626,8.06529663517953,2,0.741937344729377,0.0953101798043249,61.2414549377858,3
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-07-26,187515,3185,0.824742268041237,0.680199808693804,185866,1649,0.00121524860640684,-2.29050585555063,831,8.06623896468764,8.06592495350626,1,0.0953101798043249,0.741937344729377,121.524860640684,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-08-02,189700,3189,0.835051546391753,0.697311085131257,187515,2185,0.00161025967556031,-2.28661076787734,1649,8.06749402431082,8.06623896468764,4,1.41098697371026,0.0953101798043249,161.025967556031,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-08-09,192254,3195,0.845360824742268,0.714634924008928,189700,2554,0.00188219826607828,-2.28393805209072,2185,8.06937366522637,8.06749402431082,6,1.80828877117927,1.41098697371026,188.219826607828,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-08-16,195039,3202,0.855670103092783,0.732171325326815,192254,2785,0.00205243624550822,-2.28226851695383,2554,8.07156212354995,8.06937366522637,7,1.96009478404727,1.80828877117927,205.243624550822,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-08-23,197786,3213,0.865979381443299,0.749920289084919,195039,2747,0.00202443172941152,-2.28254296762088,2785,8.07499148219207,8.07156212354995,11,2.40694510831829,1.96009478404727,202.443172941152,4
"US","New York",40.741,-73.589,"ID1932","Nassau, New York, US",1356924,2021-08-30,200481,3226,0.876288659793814,0.767881815283239,197786,2695,0.00198610976001604,-2.28291865379442,2747,8.07902925634483,8.07499148219207,13,2.57261223020711,2.40694510831829,198.610976001604,4
